code,ergp_line_item,mda_code,agency,mother_ministry,amount,alignment,confidence,reason,mandate_deviation_score
ERGP14232085,MONITORING AND EVALUATION OF TEACHING AND LEARNING AND WOLRD TEACHERS DAY CELEBRATION,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,37800000.0,NO,HIGH,"Monitoring and evaluation of teaching and learning and World Teachers Day celebration are education sector activities that fall completely outside the Ministry of Defence's mandate of defense policy, military oversight, and national security.",100
ERGP14232090,"REHABILITATION OF COMMAND SECONDARY SCHOOL, AGWADA
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,135896756.0,PARTIAL,MEDIUM,"While not explicitly listed in core defense functions, rehabilitating military command secondary schools could fall under managing defense infrastructure and supporting military personnel welfare, though it's peripheral to primary defense mandate.",50
ERGP14232096,COMPLETION OF 2N0s ZONAL EDUCATION QUALITY ASSURANCE COMPLEXES IN KADUNA AND LAGOS,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,42000000.0,NO,HIGH,"Education quality assurance complexes are outside the Ministry of Defence's mandate which focuses on military oversight, defense policy, and national security rather than educational infrastructure development.",100
ERGP14232110,FENCING AND GUARD HOUSES FOR QUALITY ASSURANCE OFFICES IN IKEJA CANTONEMENT AND ENUGU,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,28000000.0,YES,HIGH,Fencing and guard houses for military facilities directly supports the Ministry's mandate to manage defense infrastructure and military bases while ensuring security of defense installations.,0
ERGP14232117,"OUTSTANDING LIABILITIES
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,700000000.0,YES,HIGH,"Outstanding liabilities fall within the Ministry of Defence's mandate as they represent unpaid financial obligations from defense operations, procurement, and other activities that the ministry must manage as part of its budget allocation and financial oversight responsibilities.",0
ERGP14232122,"FURNISHING OF TWO ZONAL QUALITY ASSURANCE OFFICES AT LUNGI BARRACKS, ABUJA AND 82 DIV., ENUGU.",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,21000000.0,YES,HIGH,Furnishing quality assurance offices at military facilities falls within the Ministry of Defence's mandate to manage defense infrastructure and provide oversight of military operations and facilities.,0
ERGP14232123,"OPERATION FUNDS
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,455000000.0,PARTIAL,MEDIUM,"While ""Operation Funds"" could relate to military operations oversight which is within MOD's mandate, the vague terminology makes it unclear whether this refers to legitimate defense operations or other activities outside the ministry's scope.",50
ERGP14232125,IMPLEMENTATION OF THE GLOBAL SAFE SCHOOLS DECLARATION (SSD) IN THE ARMED FORCES SCHOOLS,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,7000000.0,PARTIAL,MEDIUM,"While the Ministry of Defence operates military schools as part of defense infrastructure, implementing global education declarations appears to extend beyond core defense policy and military coordination functions into broader educational policy territory.",50
ERGP14232127,"DIGITALIZATIION & ARCHIVING OF ACCOUNTING BOOKS AND RECORDS
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,42000000.0,YES,HIGH,Digitalization and archiving of accounting books and records is essential for the Ministry of Defence to effectively manage defense budget allocation across service branches and maintain proper financial oversight of military expenditures as required by their mandate.,0
ERGP14232129,ESTABLISHMENT OF EDUCATION MANAGEMENT INFORMATION SYSTEM (EMIS) IN MOD AND ARMED FORCES SCHOOLS,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,8400000.0,YES,HIGH,Establishing an Education Management Information System for MOD and Armed Forces schools directly supports the Ministry's statutory function to coordinate military training and professional military education within the defense establishment.,0
