mda_code,mda_name,mandate_description
119009021,401. FOREIGN MISSION : BRUSSELS,"**MDA Code:** 119009021

Nigeria's Foreign Mission in Brussels, Belgium, is one of Nigeria's most strategic diplomatic missions representing Federal Republic of Nigeria in Belgium with concurrent accreditation to European Union and Luxembourg. Located in Brussels, Belgium's capital and de facto capital of European Union hosting EU institutions, NATO headquarters and numerous international organizations. Operating under Federal Ministry of Foreign Affairs, the mission holds dual importance managing bilateral Nigeria-Belgium relations and serving as Nigeria's mission to European Union. EU is collectively Nigeria's major trading partner and development cooperation provider. The mission negotiates EU-Nigeria relations including Economic Partnership Agreements, migration management, development aid through European Development Fund, and security cooperation. Belgium itself has colonial history with Congo and expertise in diamond trade relevant to Nigeria. Substantial Nigerian diaspora lives in Belgium including asylum seekers. The mission coordinates Nigeria's engagement with EU institutions on trade, migration, security and development.

**Core Mandate:** To represent Nigeria's interests in Belgium and European Union, coordinate EU engagement, manage migration issues, promote trade and advance Nigeria's European policy.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria to Belgium, European Union and Luxembourg
(b) Serve as Nigeria's primary mission to European Union institutions in Brussels
(c) Negotiate Economic Partnership Agreements and trade relations with EU
(d) Protect rights and interests of Nigerian citizens in Belgium and Luxembourg
(e) Provide consular services to Nigerian diaspora including migrants and asylum seekers
(f) Coordinate EU development cooperation and European Development Fund assistance to Nigeria
(g) Negotiate migration management agreements with EU
(h) Implement Nigeria's European Union engagement strategy
(i) Monitor EU political, economic and policy developments affecting Nigeria
(j) Report to Federal Ministry of Foreign Affairs on EU matters and Belgium
(k) Engage EU institutions (European Commission, Parliament, Council) on Nigeria's interests
(l) Address irregular migration while promoting legal migration pathways with EU
(m) Provide assistance to Nigerian migrants facing deportation from EU countries
(n) Issue emergency travel documents to Nigerians
(o) Promote Nigeria's image within EU institutions and Belgium
(p) Liaise with Belgian government and EU institutions on bilateral and multilateral issues
(q) Coordinate with NATO headquarters on security cooperation
(r) Facilitate high-level visits between Nigerian leadership and EU officials
(s) Promote cooperation on counter-terrorism, maritime security and development
(t) Advance Nigeria's interests in EU-Africa relations, EU-ECOWAS cooperation and multilateral forums"
119009022,402. FOREIGN MISSION: BUCHAREST,"Nigeria's Foreign Mission in Bucharest, Romania, is a diplomatic mission representing Federal Republic of Nigeria in Romania. Located in Bucharest, Romania's capital and largest city, operating under Federal Ministry of Foreign Affairs. The mission manages Nigeria's relationship with Eastern European EU member state. Romania has experienced significant Nigerian irregular migration with many Nigerians seeking EU entry through Romania before Schengen accession. Romanian authorities have deported numerous Nigerians. Some Nigerian students study in Romanian universities attracted by lower costs. Small Nigerian trading community operates in Bucharest. Romania has agricultural expertise and oil refining capacity relevant to Nigeria. As EU member, Romania participates in EU-Africa relations. The mission addresses primarily consular issues and migration management while promoting limited trade ties. Romania's experience with democratic transition and EU accession interests Nigerian governance reforms.

**Core Mandate:** To represent Nigeria's interests in Romania, manage migration issues, protect Nigerian citizens, promote educational cooperation and advance EU engagement through Romania.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining diplomatic relations with Romania
(b) Manage migration issues including irregular migration and deportations
(c) Protect rights and interests of Nigerian citizens in Romania
(d) Provide consular services to Nigerians including students and migrants
(e) Assist Nigerian irregular migrants and those facing deportation
(f) Promote educational cooperation with Romanian universities
(g) Implement Nigeria's Eastern European engagement strategy
(h) Monitor Romanian political and economic developments
(i) Report to Federal Ministry of Foreign Affairs on Romania and Eastern Europe
(j) Facilitate limited trade and investment between Nigeria and Romania
(k) Promote cooperation in agriculture and oil refining sectors
(l) Provide assistance to Nigerian students in Romanian universities
(m) Issue emergency travel documents to Nigerians
(n) Address trafficking in persons cases involving Nigerians
(o) Engage Romania as EU member on EU-Nigeria relations
(p) Liaise with Romanian government on migration management
(q) Coordinate with IOM and international organizations in Bucharest
(r) Facilitate diplomatic exchanges when needed
(s) Learn from Romania's EU accession experience for Nigerian reforms
(t) Advance Nigeria's interests through Romania's EU membership and regional connections"
119009023,403. FOREIGN MISSION: BUDAPEST,"Nigeria's Foreign Mission in Budapest, Hungary, is a diplomatic mission representing Federal Republic of Nigeria in Hungary. Located in Budapest, Hungary's capital on Danube River, operating under Federal Ministry of Foreign Affairs. The mission manages Nigeria's relationship with Hungary, EU member state in Central Europe. Hungary has become transit point for Nigerian irregular migrants seeking Western Europe. Hungarian government under Viktor Orban has strict anti-immigration policies complicating migration management. Some Nigerian students study in Hungarian universities particularly medical schools. Small Nigerian community exists in Budapest. Hungary has agricultural and water management expertise relevant to Nigeria. As EU member, Hungary participates in EU-Africa policies though often takes more restrictive positions. The mission primarily addresses consular and migration issues while promoting limited educational and economic ties. Hungary's nationalist government presents unique diplomatic challenges.

**Core Mandate:** To represent Nigeria's interests in Hungary, manage migration challenges, protect Nigerian citizens, promote educational ties and engage EU through Hungary despite political constraints.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining diplomatic relations with Hungary
(b) Manage complex migration issues under Hungary's strict immigration policies
(c) Protect rights and interests of Nigerian citizens facing challenging environment
(d) Provide consular services to Nigerian students and migrants
(e) Assist Nigerian irregular migrants detained or facing deportation
(f) Promote educational cooperation particularly in medical education
(g) Implement Nigeria's Central European engagement strategy
(h) Monitor Hungarian political developments and nationalist policies
(i) Report to Federal Ministry of Foreign Affairs on Hungary and migration issues
(j) Facilitate limited trade and investment despite political constraints
(k) Promote cooperation in agriculture and water management
(l) Provide assistance to Nigerian students in Hungarian universities
(m) Issue emergency travel documents to Nigerians
(n) Address human trafficking cases involving Nigerians
(o) Engage Hungary cautiously as restrictive EU member on migration
(p) Liaise with Hungarian government navigating nationalist rhetoric
(q) Coordinate with UN agencies and diplomatic missions in Budapest
(r) Maintain diplomatic relations despite challenging political environment
(s) Address anti-immigrant sentiment affecting Nigerian community
(t) Advance Nigeria's limited interests through Hungary's EU membership"
119009024,404. FOREIGN MISSION: BUEA,"Nigeria's Foreign Mission in Buea, Cameroon, is a diplomatic mission representing Federal Republic of Nigeria in Republic of Cameroon. Located in Buea, Cameroon's Southwest Region (though Yaoundé is capital), operating under Federal Ministry of Foreign Affairs. Note: Most sources indicate Nigeria's mission to Cameroon is in Yaoundé, not Buea. However, Buea's location in anglophone Southwest Region connects to Nigeria's concerns about Cameroon's anglophone crisis. The mission manages Nigeria's crucial relationship with major eastern neighbor sharing 1,690 km border. Nigeria-Cameroon relations have experienced tensions over Bakassi Peninsula maritime boundary dispute resolved by ICJ in Cameroon's favor. Both countries cooperate extensively on Lake Chad Basin security against Boko Haram. Significant cross-border trade and population movement occurs. Nigerian refugees fled to Cameroon during civil war; Cameroonian refugees flee anglophone crisis to Nigeria. Both countries are ECCAS and Lake Chad Basin Commission members.

**Core Mandate:** To represent Nigeria's interests in Cameroon, manage complex border relations, coordinate security cooperation, protect Nigerian citizens and monitor anglophone crisis.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining diplomatic relations with Cameroon
(b) Manage complex bilateral relations post-Bakassi Peninsula dispute resolution
(c) Protect rights and interests of Nigerian citizens in Cameroon
(d) Provide consular services to substantial Nigerian population
(e) Coordinate Nigeria-Cameroon security cooperation against Boko Haram in Lake Chad region
(f) Monitor Cameroon's anglophone crisis affecting cross-border populations
(g) Implement Nigeria's policy toward major eastern neighbor
(h) Monitor political, security and border developments in Cameroon
(i) Report to Federal Ministry of Foreign Affairs on Cameroon and border issues
(j) Facilitate cross-border trade and economic cooperation
(k) Coordinate through Lake Chad Basin Commission on regional security
(l) Provide assistance to Nigerians affected by Bakassi resettlement
(m) Issue emergency travel documents to Nigerians
(n) Monitor refugee flows in both directions across border
(o) Promote trade despite historical tensions
(p) Liaise with Cameroonian government on border management and security
(q) Coordinate with Lake Chad Basin Commission and ECCAS in region
(r) Facilitate high-level diplomatic engagement on sensitive bilateral issues
(s) Promote cooperation on border security, counter-terrorism and maritime boundaries
(t) Advance Nigeria's interests in Lake Chad Basin security, ECCAS and Central Africa relations"
119009025,405. FOREIGN MISSION: BUENOS AIRES,"Nigeria's Foreign Mission in Buenos Aires, Argentina, is a diplomatic mission representing Federal Republic of Nigeria in Argentine Republic. Located in Buenos Aires, Argentina's capital and largest city, operating under Federal Ministry of Foreign Affairs. The mission manages Nigeria's relationship with South America's third-largest economy. Argentina is major agricultural exporter with expertise in beef production, soy cultivation and agricultural technology relevant to Nigeria. Both countries are G77 members advocating for developing countries' interests. Limited Nigerian community exists in Argentina. Argentina has historically supported African liberation struggles. Trade between countries remains minimal below potential. Argentina's experience with economic crises and IMF relations interests Nigeria. Both cooperate in UN and South-South cooperation forums. The mission has lower priority given geographic distance and limited bilateral engagement but maintains diplomatic presence in Southern Cone.

**Core Mandate:** To represent Nigeria's interests in Argentina, promote South-South cooperation, facilitate agricultural technology transfer and maintain diplomatic presence in South America.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining diplomatic relations with Argentina
(b) Promote bilateral cooperation on agriculture, trade and South-South partnerships
(c) Protect rights and interests of limited Nigerian community in Argentina
(d) Provide consular services to Nigerians in Argentina
(e) Promote Argentine agricultural technology transfer to Nigeria
(f) Facilitate partnerships in beef production, soy cultivation and agro-processing
(g) Implement Nigeria's South American engagement strategy
(h) Monitor Argentine political and economic developments
(i) Report to Federal Ministry of Foreign Affairs on Argentina and Southern Cone
(j) Promote bilateral trade expansion from minimal current levels
(k) Learn from Argentina's experience with economic crises and debt restructuring
(l) Provide assistance to Nigerian citizens in Argentina
(m) Issue emergency travel documents to Nigerians
(n) Facilitate educational cooperation with Argentine universities
(o) Promote Nigeria-Argentina cooperation in G77 and developing countries forums
(p) Liaise with Argentine government on bilateral issues
(q) Coordinate with Latin American embassies on regional issues
(r) Facilitate limited high-level diplomatic exchanges
(s) Promote cooperation in UN, WTO and multilateral development forums
(t) Advance Nigeria's interests in South-South cooperation and Latin America-Africa relations"
119009026,406. FOREIGN MISSION: BUJUMBURA,"Nigeria's Foreign Mission in Bujumbura, Burundi, is a diplomatic mission representing Federal Republic of Nigeria in Republic of Burundi. Located in Bujumbura, Burundi's largest city and former capital (capital moved to Gitega in 2019), operating under Federal Ministry of Foreign Affairs. The mission operates in challenging environment given Burundi's political crisis, human rights concerns and isolation from Western donors. Burundi experienced ethnic conflict between Hutu and Tutsi populations resulting in civil war. Political crisis intensified in 2015 when President Nkurunziza sought unconstitutional third term. Nigeria has provided peacekeepers to past regional missions in Burundi. Small Nigerian presence mainly missionaries and development workers. Burundi's poverty, political instability and regional tensions create difficult operating environment. The mission maintains diplomatic presence monitoring Great Lakes region security dynamics.

**Core Mandate:** To represent Nigeria's interests in Burundi, monitor Great Lakes security, support stability efforts, protect Nigerian citizens and maintain diplomatic presence despite challenges.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining diplomatic relations with Burundi
(b) Monitor Burundi's political crisis and human rights situation
(c) Protect rights and interests of limited Nigerian community mainly missionaries
(d) Provide consular services to Nigerians despite operational challenges
(e) Monitor Great Lakes region security dynamics affecting broader African stability
(f) Report to Federal Ministry of Foreign Affairs on Burundi and regional tensions
(g) Support international efforts toward Burundi's stability and reconciliation
(h) Implement Nigeria's African conflict resolution and peacebuilding policies
(i) Monitor ethnic tensions and potential spillover effects in region
(j) Facilitate limited development cooperation
(k) Provide assistance to Nigerian citizens working in challenging environment
(l) Issue emergency travel documents and facilitate evacuations when needed
(m) Monitor refugee situations in Great Lakes region
(n) Maintain minimal commercial engagement given crisis environment
(o) Promote Nigeria's peacekeeping experience in Great Lakes context
(p) Liaise with Burundian government despite international isolation
(q) Coordinate with AU, UN and regional organizations on Burundi crisis
(r) Maintain diplomatic presence as African solidarity gesture
(s) Support regional stability efforts through East African Community
(t) Advance Nigeria's interests in Great Lakes security, African peace and conflict resolution"
119009027,407. FOREIGN MISSION: CAIRO,"Nigeria's Foreign Mission in Cairo, Egypt, is one of Nigeria's most important diplomatic missions representing Federal Republic of Nigeria in Arab Republic of Egypt. Located in Cairo, Egypt's capital, Africa's largest city and Arab world's cultural center, operating under Federal Ministry of Foreign Affairs. The mission manages Nigeria's strategic relationship with Egypt, Africa's third most populous country and Arab world leader. Nigeria and Egypt are Africa's most influential countries often cooperating on continental issues. Thousands of Nigerian students study in Egyptian universities particularly Al-Azhar University for Islamic studies. Cairo hosts African Union headquarters temporarily and Arab League headquarters permanently. Egypt has construction, engineering and agricultural expertise. Both countries cooperate extensively in African Union. Historical Nasser-era Egypt supported African liberation. The mission coordinates Nigeria's engagement with Arab world through Egypt, manages substantial student population, and promotes bilateral cooperation.

**Core Mandate:** To represent Nigeria's interests in Egypt, coordinate Arab-African engagement, protect large student population, promote bilateral cooperation and advance continental leadership partnership.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining strategic partnership with Egypt
(b) Coordinate Nigeria's engagement with Arab world through Egypt as Arab leader
(c) Protect rights and welfare of thousands of Nigerian students in Egyptian universities
(d) Provide extensive consular services to large Nigerian student and resident population
(e) Facilitate Nigerian students' education particularly at Al-Azhar University for Islamic studies
(f) Promote Egyptian investment in Nigerian construction and infrastructure sectors
(g) Implement Nigeria's North African and Arab engagement strategy
(h) Monitor Egyptian political, religious and regional developments
(i) Report to Federal Ministry of Foreign Affairs on Egypt and Arab League matters
(j) Coordinate Nigeria-Egypt cooperation in African Union on continental issues
(k) Engage Arab League headquarters in Cairo on Arab-African relations
(l) Provide assistance to Nigerian students facing academic, financial or legal issues
(m) Issue emergency travel documents to Nigerians
(n) Facilitate technology transfer in agriculture, construction and engineering
(o) Promote bilateral trade expansion leveraging Egypt's regional trade networks
(p) Liaise with Egyptian government on student welfare and bilateral cooperation
(q) Coordinate with AU organs temporarily in Cairo and Arab League headquarters
(r) Facilitate high-level presidential and diplomatic visits between continental leaders
(s) Promote cooperation in counter-terrorism, religious education and regional security
(t) Advance Nigeria-Egypt continental leadership partnership in AU, Arab-African cooperation and global South advocacy"
119009028,408. FOREIGN MISSION: CANBERRA,"Nigeria's Foreign Mission in Canberra, Australia, is a diplomatic mission representing Federal Republic of Nigeria in Commonwealth of Australia. Located in Canberra, Australia's purpose-built capital, operating under Federal Ministry of Foreign Affairs. The mission manages Nigeria's relationship with developed Commonwealth nation in Pacific. Growing Nigerian diaspora in Australia includes skilled professionals, students and permanent residents attracted by Australian immigration system. Many Nigerian medical doctors, engineers and IT professionals migrate to Australia. Some Nigerian students study in Australian universities. Australia provides development assistance to Nigeria. Both countries are Commonwealth members. Australia has expertise in mining, agriculture and education relevant to Nigeria. The mission facilitates skilled migration, protects diaspora rights, promotes educational links and commercial ties. However, mission also handles cases of Nigerian irregular migrants arriving by boat and detained in offshore processing centers.

**Core Mandate:** To represent Nigeria's interests in Australia, facilitate skilled migration, protect growing diaspora, promote educational and commercial ties and manage Commonwealth relations.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining diplomatic relations with Australia
(b) Facilitate skilled Nigerian migration to Australia through official channels
(c) Protect rights and interests of growing Nigerian diaspora including skilled professionals
(d) Provide consular services to Nigerians including students and permanent residents
(e) Support Nigerian students in Australian universities
(f) Promote Australian investment in Nigerian mining and agriculture sectors
(g) Implement Nigeria's Pacific and Commonwealth engagement strategy
(h) Monitor Australian immigration policies affecting Nigerian skilled workers
(i) Report to Federal Ministry of Foreign Affairs on Australia and Pacific region
(j) Coordinate Australian development assistance to Nigeria
(k) Engage Commonwealth networks through Australia
(l) Provide assistance to Nigerians including those in immigration detention
(m) Issue emergency travel documents and handle deportation cases
(n) Facilitate educational partnerships between Nigerian and Australian universities
(o) Promote diaspora engagement with Nigerian development
(p) Liaise with Australian government on migration, education and bilateral issues
(q) Coordinate with Commonwealth organizations and Pacific diplomatic missions
(r) Facilitate high-level diplomatic and business visits
(s) Address cases of Nigerian asylum seekers in offshore detention facilities
(t) Advance Nigeria's interests in Commonwealth, skilled migration and development cooperation"
119009029,409. FOREIGN MISSION: CARACAS,"Nigeria's Foreign Mission in Caracas, Venezuela, is a diplomatic mission representing Federal Republic of Nigeria in Bolivarian Republic of Venezuela. Located in Caracas, Venezuela's capital, operating under Federal Ministry of Foreign Affairs. The mission manages Nigeria's relationship with Venezuela amid Venezuela's severe economic collapse, political crisis and humanitarian emergency. Both countries are major oil exporters and OPEC members providing common ground. Venezuela under Chavez and Maduro supported developing countries causes. However, Venezuela's crisis has devastated its economy despite vast oil reserves creating cautionary tale for oil-dependent Nigeria. Small Nigerian community exists mainly students and traders. Venezuela's refining expertise historically relevant to Nigeria. The mission operates under difficult conditions given hyperinflation, shortages, political instability and international sanctions on Venezuelan government. Maintaining diplomatic presence despite challenges demonstrates South-South solidarity.

**Core Mandate:** To represent Nigeria's interests in Venezuela, coordinate OPEC cooperation, monitor oil sector lessons, maintain South-South solidarity and protect Nigerian citizens despite crisis conditions.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining diplomatic relations with Venezuela despite crisis
(b) Coordinate Nigeria-Venezuela cooperation in OPEC on oil production
(c) Protect rights and interests of limited Nigerian community in crisis environment
(d) Provide consular services to Nigerians amid hyperinflation and shortages
(e) Monitor Venezuela's oil sector collapse for lessons on petroleum over-dependence
(f) Learn from Venezuela's economic mismanagement to inform Nigerian policy
(g) Implement Nigeria's Latin American engagement despite Venezuelan isolation
(h) Monitor Venezuelan political crisis, humanitarian emergency and regional implications
(i) Report to Federal Ministry of Foreign Affairs on Venezuela crisis and OPEC matters
(j) Maintain minimal bilateral cooperation given crisis constraints
(k) Support Nigerian students facing severe hardship from economic collapse
(l) Provide assistance and potential evacuation for Nigerians in crisis
(m) Issue emergency travel documents amid banking system collapse
(n) Monitor Venezuelan refining sector despite operational difficulties
(o) Maintain South-South solidarity despite Venezuelan government's isolation
(p) Liaise with Venezuelan government amid international sanctions
(q) Coordinate with remaining diplomatic missions and international organizations
(r) Operate mission under difficult conditions (hyperinflation, shortages, security risks)
(s) Balance solidarity with Venezuelan people while noting governance failures
(t) Advance limited Nigerian interests in OPEC, oil producers cooperation and Latin America-Africa relations"
119009030,410. FOREIGN MISSION: CONAKRY,"Nigeria's Foreign Mission in Conakry, Guinea, is a diplomatic mission representing Federal Republic of Nigeria in Republic of Guinea (Guinea-Conakry, distinct from Guinea-Bissau and Equatorial Guinea). Located in Conakry, Guinea's capital and Atlantic port city, operating under Federal Ministry of Foreign Affairs. The mission manages Nigeria's relationship with francophone West African neighbor and ECOWAS member. Guinea has vast mineral wealth including bauxite (world's largest reserves), iron ore, gold and diamonds. Nigerian traders operate in Guinean markets. Both countries cooperate in ECOWAS, Mano River Union and West African regional integration. Guinea has experienced political instability including 2021 military coup. Nigeria has role in ECOWAS mediation. Historical ties exist through shared opposition to colonialism. Guinea's mining sector development interests Nigeria. The mission promotes regional integration, monitors political developments and protects Nigerian commercial interests in minerals-rich but politically unstable country.

**Core Mandate:** To represent Nigeria's interests in Guinea, promote bilateral trade in minerals, monitor political stability, coordinate ECOWAS mediation and protect Nigerian citizens.

**Statutory Functions:**
(a) Represent Federal Republic of Nigeria maintaining diplomatic relations with Guinea
(b) Promote bilateral cooperation on mining, trade and regional integration
(c) Protect rights and interests of Nigerian traders in Guinean markets
(d) Provide consular services to Nigerian diaspora
(e) Monitor Guinea's bauxite, iron ore and mineral sector developments
(f) Facilitate Nigerian investment in Guinean mining and minerals sector
(g) Implement Nigeria's West African regional integration policy
(h) Monitor Guinean political developments including military coups and transitions
(i) Report to Federal Ministry of Foreign Affairs on Guinea and Mano River region
(j) Support ECOWAS mediation efforts following Guinea's 2021 coup
(k) Coordinate Nigeria-Guinea cooperation in ECOWAS and West African organizations
(l) Promote bilateral trade despite political instability
(m) Provide assistance to Nigerian traders and citizens
(n) Issue emergency travel documents to Nigerians
(o) Monitor Ebola and disease outbreak risks in Guinea as regional epicenter
(p) Promote Nigeria's leadership in ECOWAS responses to Guinea's political crises
(q) Liaise with Guinean authorities on bilateral issues and constitutional order
(r) Coordinate with ECOWAS, AU and international partners in Conakry
(s) Facilitate diplomatic engagement on democratic governance and stability
(t) Advance Nigeria's interests in ECOWAS, Mano River Union, West African stability and mineral resources cooperation"
