mda_code,mda_name,mandate_description
521025001,"41. COMMUNITY HEALTH TUTOR PROGRAMME, UCH","The Community Health Tutor Programme at the University College Hospital (UCH), Ibadan is an agency school established within the Federal Training Centre for Teachers of Health Sciences to provide quality teacher-education for community health practitioners in Nigeria. The Programme operates under the supervision of the Federal Ministry of Health as part of the broader initiative to strengthen primary healthcare delivery systems across Nigeria.

The establishment of tutor programmes at UCH traces its origins to 1976, when the Federal Ministry of Health called upon UCH to assist in training tutors for Schools of Health Technology created across Nigeria to implement primary health care policies. The Federal Government recognized the critical shortage of qualified tutors to teach at these institutions and decided to establish an integrated training centre for teachers of health sciences at UCH, Ibadan.

The Community Health Officers' Training Programme commenced on October 15, 1979, initially under the Department of Public Health Nursing at the School of Hygiene, Eleyele, Ibadan. In November 1981, the Programme relocated to the University College Hospital campus. The Programme received full accreditation from the Community Health Practitioners Registration Board of Nigeria (CHPRBN) for four-year periods, confirming its compliance with national standards for training community health tutors.

The mandate of the Community Health Tutor Programme encompasses: training qualified community health practitioners to become competent tutors capable of teaching in Schools of Health Technology and related institutions across Nigeria; providing quality lifelong educational opportunities for Nigerian citizens registered and licensed by CHPRBN to practice in Nigeria; offering world-class training, research, and services for Primary Health Care Tutors in a conducive atmosphere renowned for quality and excellence; and contributing to the development of the primary healthcare workforce essential for achieving Nigeria's health goals.

The Programme admits candidates who are registered with the Community Health Practitioners Registration Board of Nigeria, possess current practicing licenses, and hold qualifications as Community Health Extension Workers or degrees in Community Health Science, Health Education, Public Health, or HND in Community Health. The teaching activities of the Programme are coordinated by the Institute of Education and the Community Medicine Department of the College of Medicine, University of Ibadan, with lecturers drawn from UCH and the University of Ibadan.

The Programme operates alongside other tutor training programmes within the Federal Training Centre for Teachers of Health Sciences at UCH, including the Environmental Health Officers' Tutors Programme, Nurse/Midwife/Public Health Nurse Tutors' Course, and Primary Health Care Tutors' Course. These programmes collectively address the need for qualified educators in Nigeria's health technology institutions."
517015001,42. COMPUTER PROFESSIONALS (REGISTRATION COUNCIL OF NIGERIA),"The Computer Professionals (Registration Council of Nigeria), commonly known as CPN, was established by Decree No. 49 of 1993 (now CPN Act CAP C22 LFN 2004) as a body corporate with perpetual succession and common seal. The Decree was promulgated on June 10, 1993, and gazetted on August 9, 1993. CPN operates under the supervision of the Federal Ministry of Education, with the National Assembly performing oversight functions over its activities.

CPN was established in recognition of the increasing global prominence of Information Technology (IT) and its role as a driver of socio-economic development. The Federal Government identified the need to put appropriate regulatory mechanisms in place to ensure that growth and development in the IT sector occurs within an atmosphere devoid of quackery, arbitrary practice, and lack of standards.

The Council is charged with the regulation, control, and supervision of the computing profession and practice in Nigeria in line with Section 1(2) of the establishing Act. CPN's primary functions include: determining the standards of knowledge and skills to be attained by persons seeking to become members of the computing profession and improving those standards from time to time as circumstances may permit; securing the establishment and maintenance of a register of persons seeking to be registered under the Act to practice the computing profession; and publishing from time to time the list of such registered persons.

Additional functions of CPN include: determining academic and professional standards in Computer Science, Computer Engineering, Information Technology, and other related disciplines; accrediting institutions' courses and programmes as well as evaluating certificates in computing and related disciplines; regulating and controlling all persons and corporate organizations engaged or seeking to engage in the sale or use of computing facilities or the provision of professional services in computing; encouraging the education of computer scientists, engineers, and IT professionals in Nigeria; supporting and fostering research projects that advance IT and its applications; ensuring that computing profession ethics are upheld as stated in the society's code of practice and conduct; and defending and advancing registered members' interests.

Under the Act, it is mandatory for all persons and organizations seeking to engage, or already engaged, in IT training/education, sale and/or use of computing facilities, and the provision of professional services in computational or related machinery in Nigeria to be registered by the Council and licensed to carry out such activities. CPN maintains the power to apply administrative sanctions, including debarring any practitioner or organization that contravenes the Act. The Council has established a Centre of Excellence in Abuja and continues to intensify enforcement against illegal IT activities and quackery in the sector."
119009118,"43. CONSULATE GENERAL OF NIGERIA, FRANKFURT, GERMANY","The Consulate General of the Federal Republic of Nigeria in Frankfurt am Main is a Nigerian diplomatic mission in Germany established in 2013. It is the first and only Nigerian Consulate Office in Europe, reflecting the significant Nigerian diaspora population in the region. The Consulate is located at Weissfrauenstrasse 12, D-60311, Frankfurt am Main, Germany, and operates under the Federal Ministry of Foreign Affairs.

The establishment of the Consulate General was necessitated by the large community of Nigerians residing within its consular jurisdiction. Nigerians constitute the largest sub-Saharan African group in Germany, with over 60,000 Nigerians estimated to be living in the country. Historically, the first Nigerians in Germany arrived on study visas with scholarships from the German government in support of Nigeria's post-independence development efforts. Many Nigerians are organized in professional groups such as Nigerian Scholars in Germany, Nigerian Medical Association, and umbrella associations like the Nigerians in Diaspora Organization in Germany and the Nigerian Community in Germany (formed in 1990 and incorporated in Bonn in 1992).

The Consular jurisdiction of the Nigeria Consulate in Frankfurt comprises five states in the South of Germany: Hesse, Rhineland-Palatinate, Baden-Württemberg, the Free State of Bavaria, and North Rhine-Westphalia. Major cities within this jurisdiction include Düsseldorf, Heidelberg, Wiesbaden, Dortmund, Sindelfingen, and Mannheim, among others.

The mandate of the Consulate General encompasses providing consular services to Nigerian citizens and promoting bilateral relations between Nigeria and Germany. Specific services include: processing visa applications for foreign nationals seeking to visit Nigeria; passport application processing and renewal through online systems via the Nigerian Immigration Service website; issuance of Emergency Travel Certificates (ETC) to stranded Nigerians who lack proper immigration status to return home; citizenship services including age declaration, burial transit permits, change of profession, citizen identification and registration, and corporate registration; document legalization and authentication of documents issued in Nigeria; and providing help and assistance to Nigerians living within its area of jurisdiction.

The Consulate also provides emergency consular assistance including advice and support to victims of serious crime overseas and arranging for next-of-kin notification. In 2021, the Nigerian government launched a temporary passport to replace the Emergency Travel Certificate, with 30-day validity. The Consulate observes all public holidays within the consular jurisdiction areas as well as all national public holidays in Germany and Nigeria, including Christian and Muslim holidays. In addition to the Consulate General in Frankfurt, Nigeria maintains an Embassy in Berlin as its primary diplomatic mission in Germany."
234005001,44. COUNCIL FOR THE REGULATION OF ENGINEERING IN NIGERIA (COREN),"The Council for the Regulation of Engineering in Nigeria (COREN), formerly known as the Council for the Registration of Engineers in Nigeria, is a statutory body established by the Federal Government of Nigeria with the mandate to regulate the practice of engineering in all aspects and ramifications. COREN was established by Decree 55 of 1970, amended by Decree 27 of 1992, codified as Engineers (Registration, etc.) Act CAP E11, 2004, and further amended by the Engineers (Registration, etc.) (Amendment) Act No. 3 of 2018.

The establishment of COREN empowered the Council to regulate and control the training and practice of engineering in Nigeria and to ensure and enforce the registration of all engineering personnel, including Engineers, Engineering Technologists, Engineering Technicians, and Engineering Craftsmen, as well as consulting and contracting firms wishing to practice or engage in engineering practice in Nigeria.

Under the establishing Act, COREN's primary functions include: determining who are engineers for the purposes of the Act; maintaining a register of engineering practitioners and issuing licenses to practice legally in Nigeria; regulating and controlling the practice of the engineering profession in all its aspects and ramifications; accrediting engineering programmes in universities, polytechnics, and technical colleges; and performing other functions conferred on the Council by the Act.

The Council is composed of members from the register of engineers, including: one person elected by the Council as President; six persons elected to represent the Nigerian Society of Engineers; four persons appointed to represent universities with faculties of engineering; one person appointed to represent polytechnics; one person to represent technical colleges; six persons appointed to represent the States of the Federation; four persons nominated by the Minister; and one person to represent each cadre of registered engineering technologists, engineering technicians, and engineering craftsmen.

COREN implements the Engineering Regulation and Monitoring (ERM) Programme established under the Engineers (Registration, etc.) (Amendment) Act No. 3, 2018, with objectives including: minimizing and eventually eliminating Nigeria's engineering and technological dependence on other countries through mandatory attachment of Nigerians to expatriate engineers on major projects; minimizing foreign exchange leakage resulting from foreign domination of engineering activities, particularly in petroleum and construction sectors; facilitating positioning of Nigerian engineering practitioners for global competition; ensuring that all foreign firms establish their design offices in Nigeria; and monitoring and enforcing compliance with the Engineers Registration Acts.

In 2023, COREN became a provisional signatory of the Washington Accord, an international agreement for the mutual recognition of engineering degree programmes. COREN operates under the supervision of the Federal Ministry of Power, Works and Housing and maintains regional offices across Nigeria, conducting professional examinations quarterly in various locations."
229006001,45. COUNCIL FOR THE REGULATION OF FREIGHT FORWARDING IN NIGERIA (CRFFN),"The Council for the Regulation of Freight Forwarding in Nigeria (CRFFN) was established by Act No. 16 of 2007, which was enacted into law on April 30, 2007. The Council was formally inaugurated on August 18, 2008, and has been operational since then. CRFFN operates under the supervision of the Federal Ministry of Transportation as the principal regulatory body overseeing freight forwarding in Nigeria.

The Council is charged with regulating and controlling the practice of freight forwarding in Nigeria and promoting the highest standards of competence, practice, and conduct among practitioners. Under Section 30 of the establishing Act, a freight forwarder is defined as any person or company who arranges the carriage or movement of goods and associated formalities on behalf of an importer or exporter along the international boundaries of seaports, cargo airports, or land border stations.

Section 4 of Act No. 16 of 2007 establishes CRFFN's general duties, which include: regulating and controlling the practice of freight forwarding; determining the persons or classes of persons who constitute freight forwarders for the purposes of the Act; regulating and controlling all associations of freight forwarding agents; regulating and controlling persons engaged in freight forwarding; ensuring uniform standards of professional conduct and education relevant to freight forwarding practice; promoting the highest standard of competence, practice, and conduct among members of the profession; encouraging participation of members in international exchange programmes; and securing the establishment and maintenance of registers of persons entitled to practice as registered freight forwarders.

CRFFN is also mandated to determine the standards of knowledge and skill to be attained by persons seeking to be registered as freight forwarders in Nigeria and to raise those standards from time to time in accordance with international standards. The Council has obtained both national and international accreditation to run Higher National Diploma (HND) and Professional Diploma (PD) programmes for freight forwarders. The International Federation of Freight Forwarders Associations (FIATA) has accredited CRFFN to train and issue certificates in: Higher Diploma in Supply Chain Management and Professional Diploma in Freight Forwarding and Supply Chain Management. This accreditation is supported by the National Board for Technical Education (NBTE), which approved CRFFN to conduct FIATA Diploma programmes in Nigeria.

The Council's vision is to become Nigeria's leading transport player committed to the development of a modern, globally competitive freight forwarding system. CRFFN maintains offices in major port cities and is dedicated to achieving sustainable economic development through responsible transport initiatives in freight forwarding development and management. The Nigeria Customs Service Act, 2023 reinforces CRFFN's regulatory role over customs agents who operate within the freight forwarding value chain."
326004001,46. COUNCIL OF LEGAL EDUCATION,"The Council of Legal Education was established under the Legal Education Act 1962, now re-enacted as the Legal Education (Consolidation, etc.) Act, Cap L10, Laws of the Federation of Nigeria, 2004. The Council is a body corporate with perpetual succession and a common seal, charged with responsibility for the legal education of persons seeking to become members of the legal profession in Nigeria.

The establishment of the Council traces back to the recommendations of the Unsworth Committee and the subsequent Denning Committee of 1960, which reviewed how training offered in the various Inns of Court satisfied the increasing needs of African countries. These committees recommended the establishment of a Council of Legal Education with the mandate to regulate legal education and practice in Nigeria. Following these recommendations, the Legal Education Act of 1962, the Legal Practitioners Act of 1962, and the Council of Legal Education Act of 1962 were enacted, leading to the establishment of the Nigerian Law School in 1962.

The Council's primary mandate is to have responsibility for the legal education of persons seeking to become members of the legal profession. The Council also has additional functions that were formerly the responsibility of the Nigerian Institute for Continuing Legal Education before the commencement of the consolidation Act. These additional functions include overseeing mandatory continuing legal education of legal practitioners in Nigeria (MCLE).

Under Section 3 of the Act, the Council issues qualifying certificates to persons stating that they are qualified to be called to the Bar. To be entitled to such a certificate, a person must have successfully completed a course of practical training in the Nigerian Law School, which includes time spent taking examinations at the end of the course. The Nigerian Law School, established under the Legal Education Act, provides professional certification to graduates of law from approved universities.

The Council's functions include: approving universities to establish law faculties and setting conditions for such approval; stipulating conditions that must be met by universities before they can be approved to establish law faculties, especially with reference to approved courses of study; conducting periodic assessment of law faculties to ensure compliance with its standards; prescribing good conduct as a condition precedent for admission to the Law School and for call to the Bar; granting various accreditation statuses to law faculties of universities; and introducing mandatory continuing legal education for legal practitioners.

The Council operates under the direction of the Attorney-General of the Federation, who may give the Council directions of a general character with regard to the exercise of its functions. All fees collected by the Council from students of the Nigerian Law School are paid into the Treasury of the Government of the Federation and form part of the Consolidated Revenue Fund. The Nigerian Law School currently operates seven campuses, one in each geopolitical region of the country, with the Nigerian Senate having approved the establishment of additional campuses."
257005001,47. COUNCIL OF NIGERIAN MINING ENGINEERS AND GEOSCIENTISTS (COMEG),"The Council of Nigerian Mining Engineers and Geoscientists (COMEG) is the regulatory body for all professionals and firms in the Geosciences, Mining Engineering, and Metallurgy in Nigeria. COMEG was established through Act No. 40 of 1990 (now Act CAP C33 LFN, 2004) and was inaugurated on September 12, 2000. The President of the Federal Republic of Nigeria performed the inaugural Registration Ceremony of COMEG and presented the instruments of registration and practice to the Chairman of the Council on January 30, 2003. COMEG operates under the supervision of the Federal Ministry of Mines and Steel Development.

The struggle to establish a registration council for mining and geoscience professionals began in 1974, during a symposium on the ""Role of the Nigerian Mining, Geological and Metallurgical Society in the Development of the Natural Resources of Nigeria."" This symposium recommended the establishment of a regulating body, recognized in law, for scrutinizing the qualifications of and registering professionals in the field, similar to COREN for Engineers and the Medical Council for medical practitioners.

COMEG is charged with the responsibility of prescribing and enforcing the standards of education and experience for persons to practice as professionals in the Extractive Industries. The Council's major thrust is to regulate and control the practices of professionals in the fields of geology, geophysics, geochemistry, mining engineering, petroleum engineering, metallurgy, mineral processing engineering, and other related disciplines. These professionals, through their practices, contribute significantly to Nigeria's foreign exchange earnings, which largely sustain the economic activity of the country.

COMEG's regulatory responsibilities encompass: registering, regulating, and controlling the practices of Mining Engineering, Petroleum Engineering, Metallurgy, Mineral Processing Engineering, and the Geosciences in all aspects and ramifications; ensuring professionalism through education and regulation of practices in the Nigerian Extractive Industries; determining standards of knowledge and skill required for registration; maintaining registers of qualified professionals and firms; and ensuring adherence to professional standards and ethics.

The Council's vision is to be proactive in ensuring quality manpower for the Nigerian Extractive Industries while maintaining professionalism through registration, regulation, and training. COMEG has organized pre-accreditation workshops to develop Guidelines for Assessment Templates and has upgraded The Gem Magazine into a technical journal. The Council conducts periodic induction ceremonies to register new individual professionals and institutional members.

COMEG works closely with the Nigerian Mining and Geosciences Society (NMGS), which has statutory representation on the Council. Registration as a corporate member of NMGS is a prerequisite to registering with COMEG. The Council maintains the mandate that only COMEG-registered members should be employed in geosciences and mining engineering departments of tertiary institutions. COMEG has also concluded arrangements with partner organizations to conduct professional development training workshops on specialized topics such as the preparation of Bankable Mining Feasibility Study Reports."
535007001,48. CROSS RIVER NATIONAL PARK,"Cross River National Park was formally established on October 1, 1991, through Federal Republic of Nigeria Decree No. 36, which simultaneously created the National Park Service to oversee the country's protected areas. The Park operates under Act 46 of 1999 (Cap 65 LFN 2004) as one of the seven national parks under the overall administration of the Nigeria National Park Service (NNPS), a Federal Parastatal under the supervision of the Federal Ministry of Environment.

The Park is situated in the southeastern corner of Nigeria in Cross River State, encompassing approximately 4,000 square kilometers of primarily moist tropical rainforest divided into two non-contiguous sectors: the larger Oban Division covering about 3,000 square kilometers and the Okwangwo Division spanning around 1,000 square kilometers (later adjusted to approximately 640 km² for Okwangwo and 920 km² for Oban). The establishment consolidated existing forest reserves into the park's two divisions: the Oban Division, originally gazetted as a forest reserve in 1988, and the Okwangwo Division, formed from three former reserves (Boshi, Okwangwo, and Nselle).

The park was first proposed in 1965, but serious planning did not start until 1988. The World Wide Fund for Nature (WWF-UK) played a leading role in planning and establishing the park, with a budget of $49.9 million. The Cross River gorilla (Gorilla gorilla diehli) was chosen as the park's theme animal, reflecting the park's critical importance as habitat for this critically endangered species.

Under the National Park Service Act, the park's mandate includes: establishment of an ecologically and geographically balanced network of protected areas under Federal Government jurisdiction and control; protection of endangered species of wild plants and animals and their habitats; conservation of wildlife throughout Nigeria so that the abundance and diversity of species are maintained at optimum levels commensurate with other forms of land use, ensuring continued existence of wildlife for sustainable utilization; preservation of outstanding scenic, natural, scientific, recreational, and other values; and protection and maintenance of crucial wetlands and water catchment areas.

Cross River National Park is recognized as a global biodiversity hotspot, hosting over 1,500 plant species (including 77 endemics in Oban), 119 mammal species, and 16 primate species. Key wildlife includes the endemic Cross River gorilla, Nigeria-Cameroon chimpanzee, drill monkey (Mandrillus leucophaeus), grey-cheeked mangabey, Preuss's guenon, and forest elephant. Over 900 bird species have been recorded, including the grey-necked rockfowl. The park is included in the UN's list of the 25 Biodiversity Hotspots in the World and is designated as an Important Bird and Biodiversity Area.

The park borders Korup National Park and Takamanda National Park in Cameroon, creating opportunities for transboundary conservation cooperation. An amending decree in 1999 converted the Nigerian National Park Service into a paramilitary outfit with increased enforcement powers. The Park is headed by a Conservator of Parks, with a Park Management Committee providing oversight. Management has established research stations and ranger patrol bases, with ongoing collaboration with organizations including the Wildlife Conservation Society (WCS) for conservation initiatives."
252040001,49. CROSS RIVER BASIN DEVELOPMENT AUTHORITY (CRBDA),"The Cross River Basin Development Authority (CRBDA) is one of the twelve River Basin Development Authorities established by the Federal Government of Nigeria to harness and develop water resources for agricultural production, water supply, and rural development. CRBDA was established under the River Basin Development Authorities Decrees No. 25 of June 15, 1976, and Decree No. 37 of August 3, 1976 (Niger Delta Basin Development Authority Decree). These decrees created eleven River Basin Development Authorities, including the Cross River Basin Development Authority. CRBDA operates under the River Basins Development Authorities Act, Cap R9, LFN, 2004.

The Authority was formally inaugurated on May 26, 1977, by the then Federal Commissioner of Water Resources, Alhaji Ibrahim El-Yakubu. Its jurisdiction initially included the whole of the then Anambra, Imo States, and part of Benue State. In 1979, following Decree No. 87 of September 28, 1979, the Cross River Basin Development Authority assumed its present geographical entity, covering the catchment areas drained by the Cross River and its tributaries. The Authority's current area of operation covers Cross River and Akwa Ibom States.

The CRBDA operates as a parastatal of the Federal Ministry of Water Resources with its headquarters located on Murtala Mohammed Highway, Calabar, Cross River State. The Authority is described as ""a special purpose vehicle set out to intervene in food security and accelerate agricultural development through land and water resources management.""

Under Section 4(1)(a)-(e) of the River Basins Development Authorities Act, Cap R9, LFN, 2004, CRBDA's statutory functions include: undertaking comprehensive development of both surface and underground water resources for multipurpose use, with particular emphasis on the provision of irrigation infrastructure and the control of floods and erosion, as well as watershed management; constructing, operating, and maintaining dams, dykes, polders, wells, boreholes, irrigation and drainage systems, and other works necessary for the achievement of the Authority's functions; supplying water from completed storage schemes to all users for a fee to be determined from time to time; handing over all lands to be cultivated under irrigation schemes to farmers; and developing and keeping up-to-date a comprehensive water resources master plan identifying all water resources requirements in the Authority's area of operation, through adequate collection and collation of water resources, water use, socio-economic and environmental data of the River Basin.

The Authority's management structure consists of a Chairman and seven other persons appointed by the President, including a representative of the Federal Ministry of Water Resources, all of whom possess detailed knowledge of the area of operation. CRBDA continues its mission of sustainable water management and agricultural development, aligning with federal mandates to promote all-season agriculture for socio-economic development and food security in the Cross River Basin region."
517021051,"50. DAVID UMAHI FEDERAL UNIVERSITY OF HEALTH SCIENCES, UBURU, EBONYI STATE","David Umahi Federal University of Health Sciences (DUFUHS), Uburu, Ebonyi State is a specialized federal university dedicated to health sciences education and training. The institution was originally established as King David Nweze Umahi University of Medical Sciences (KDUMS) by the administration of former Governor of Ebonyi State, Engr. David Nweze Umahi, FNSE, FNATE. The Federal Government of Nigeria subsequently took over the institution in 2022 as part of its policy to establish a University of Health Sciences in each geopolitical zone of the federation.

The take-over was formalized through a letter of notification dated September 15, 2022, from the Vice-Chancellor to the Executive Secretary of the National Universities Commission (NUC), Prof. Abubakar Adamu Rasheed. The documents included the Institution Take-Over Agreement between the Federal Government of Nigeria and the Government of Ebonyi State, as well as presidential approval for the take-over. In a response letter dated October 5, 2022, the NUC conveyed acceptance of the take-over and confirmed the renaming of the institution to David Umahi Federal University of Health Sciences (DUFUHS).

The Federal Government designated DUFUHS as the University of Health Sciences for the South East geopolitical zone of Nigeria. The Governing Council was constituted, and the relevant laws of the University were passed by the National Assembly of Nigeria in the first quarter of 2023. The institution is situated at Uburu in Ohaozara Local Government Area of Ebonyi State and operates alongside the David Umahi Federal University Teaching Hospital (DUFUTH).

The establishment of the University stems from a desire to enhance the quality of manpower development in the health sector and improve healthcare standards in Nigeria and the West African sub-region. The founding vision aimed to reverse medical tourism, which had led to significant capital flight from Nigeria to the UK, India, Saudi Arabia, and other advanced countries for medical treatment. The University's central goal is to develop critical competencies and expertise in the health sciences under the most conducive learning environment with the highest form of professionalism, ethics, and excellence.

DUFUHS has received approval from the National Universities Commission (NUC) to run seventeen (17) degree programmes in various faculties. Available programmes include: Applied Biology/Biotechnology, Computer Science, Industrial Chemistry, Industrial Mathematics, Industrial Physics, Microbiology/Parasitology, Biochemistry, Human Anatomy, Physiology, Biomedical Engineering, Dentistry, Medicine & Surgery, Human Nutrition/Dietetics, Medical Laboratory Science, Nursing Science, Pharmacy, Physiotherapy, Public Health, Optometry, and Radiography & Radiation Science.

The University operates with state-of-the-art facilities, including the David Umahi Federal University Teaching Hospital (DUFUTH), which is equipped with ultra-modern medical facilities, cutting-edge equipment, and innovative technology, including current modalities for medical imaging in the Radiology Department. Additional facilities include a Radiotherapy Centre, Ophthalmology Centre, Dialyzer Production Plant, Oxygen Production Plant, Virology & Quarantine Unit, and student hostels located within walking distance of the main campus. The University's motto is ""Excellence, Scholarship and Productivity."""
